term,definition,link
IDP (Internal Developer Portal),"IDP, short for Internal Developer Portal, is a Harness module that gives developers a self-service catalog of services, templates, and docs, so they can find or spin up what they need without filing a ticket to the platform team.",
golden path,"A golden path is a ready-made, pre-approved template (offered through an Internal Developer Portal) that shows the recommended, supported way to set up a new service — a shortcut that steers developers toward good defaults.",
SEI (Software Engineering Insights),"SEI, short for Software Engineering Insights, is a Harness module that pulls data from your existing dev tools to surface engineering metrics like DORA metrics, cycle time, and PR review time.",
DORA metrics,"DORA metrics are four standard measures of software delivery performance — deployment frequency, lead time for changes, change failure rate, and time to restore service — from Google's DevOps Research and Assessment team.",https://dora.dev/
cycle time,"Cycle time is roughly how long it takes for a piece of work to go from someone starting on it to it actually being delivered — e.g. from when an engineer picks up a ticket to when that change is live in production — a core measure of delivery speed.",
Harness Open Source,"Harness Open Source is the free, self-hostable core of Harness covering source control, CI/CD, and an artifact registry — the full Harness Platform adds managed hosting plus every additional module on top.",
RBAC,"RBAC, short for Role-Based Access Control, is a permissions system where what a user can do is determined by the role they're assigned, rather than granting permissions to each person individually.",https://en.wikipedia.org/wiki/Role-based_access_control
execution view,"The execution view is the real-time screen in Harness where you watch a pipeline run step by step, with live logs, so you can see exactly what's happening or debug a failure as it occurs.",
SaaS,"SaaS, short for Software as a Service, means the software runs on the provider's own servers and you access it over the internet, instead of installing and hosting it yourself.",https://en.wikipedia.org/wiki/Software_as_a_service
YAML,"YAML is a plain-text file format, using indentation instead of brackets, that's commonly used to write configuration — Harness pipelines are ultimately stored as YAML.",https://en.wikipedia.org/wiki/YAML
Kubernetes,"Kubernetes is a system for automatically running, scaling, and managing containerized applications across a group of machines, instead of managing each container by hand.",https://kubernetes.io/
cluster,"A cluster is a group of machines that work together as one system — in Kubernetes, it's the whole set of servers your containers actually run on.",
pod,"A pod is the smallest deployable unit in Kubernetes — one running instance of your containerized application (or a small group of tightly coupled containers) inside a cluster.",
health check,"A health check is an automated probe that repeatedly asks 'is this still working correctly?' after a deploy — e.g. pinging a '/health' URL every few seconds and expecting a success response — and can trigger an automatic rollback if the answer becomes no.",
scope (Account / Organization / Project),"In Harness, every resource is created inside a scope, nested three levels deep: an Account (your whole company's Harness tenant) contains Organizations (e.g. separate business units or departments), and each Organization contains Projects (where the actual pipelines, connectors, and secrets live). RBAC roles can be granted at any of these three levels, so access can be as broad as 'the whole account' or as narrow as 'one project.'",
SCM (Source Control Management),"SCM is the general term for tools like Git that track every change made to code over time, so nothing is ever lost and every change can be reviewed or reverted. Harness Open Source bundles its own SCM alongside CI/CD and an artifact registry.",
SAST (Static Application Security Testing),"SAST is a security scan that reads your source code itself, without running it, to catch risky patterns early — like a hardcoded password or a known-unsafe function call — before the code ever ships. It's one of the scanner types an STO pipeline step can run.",
DAST (Dynamic Application Security Testing),"DAST is a security scan that probes your application while it's actually running (much like an attacker would) to find vulnerabilities that only show up in a live, working system — complementing the code-only view a SAST scan gives.",
anti-pattern,"An anti-pattern is a common approach that looks convenient in the moment but causes real problems later — for example, hardcoding a secret directly in pipeline YAML, building one giant pipeline instead of reusable templates, or skipping the approval gate before a production deploy.",
